
Name                                               AppID
IBus Preferences (Ubuntu-22.04)                    Microsoft.AutoGenerated.{49B7FFB6-FC8A-3B95-5A60-B2F05E2498C0}
inSSIDer                                           com.squirrel.inSSIDer.inSSIDer
KeePass 2                                          {6D809377-6AF0-444B-8957-A3773F02200E}\KeePass Password Safe 2\KeePass.exe
Live captions                                      {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\LiveCaptions.exe
LoadOrder                                          Microsoft.SysinternalsSuite_8wekyb3d8bbwe!LoadOrd
Lock your Facebook profile   Facebook Help Center  Chrome._crx_hmcaidlejnihoapjlbhcnfpfho
Logi Options+                                      Logi.OptionsPlus.App
Magnifier                                          {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\magnify.exe
Media Player                                       Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic
Melodics                                           {6D809377-6AF0-444B-8957-A3773F02200E}\Melodics\Melodics.exe
Messages                                           Chrome._crx_hpfldicfbfkngkocigghgafkph
Microsoft Clipchamp                                Clipchamp.Clipchamp_yxz26nhyzhsrt!App
Microsoft Defender                                 Microsoft.6365217CE6EB4_8wekyb3d8bbwe!App
Microsoft Edge                                     MSEdge
Microsoft Store                                    Microsoft.WindowsStore_8wekyb3d8bbwe!App
Microsoft Teams                                    MSTeams_8wekyb3d8bbwe!MSTeams
Microsoft To Do                                    Microsoft.Todos_8wekyb3d8bbwe!App
Microsoft UAC2 Control Panel                       {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Yamaha\Yamaha Steinberg USB Driver\ysusb_cp.exe
Microsoft Whiteboard                               Microsoft.Whiteboard_8wekyb3d8bbwe!Whiteboard
Midi Processor                                     9436BLYaduwanshi.MidiProcessor_6mbvaan0a5ret!App
Moon Lander (Ubuntu-22.04)                         Microsoft.AutoGenerated.{FB429F26-1ADE-E1F4-15AC-727EFBEFD8A1}
Mousepad (Ubuntu-22.04)                            Microsoft.AutoGenerated.{D887A3D6-6371-3DD5-8399-CCCE04052CFC}
Multi Control                                      SAMSUNGELECTRONICSCoLtd.MultiControl_wyx1vj98g3asy!App
Narrator                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\narrator.exe
Netflix                                            4DF9E0F8.Netflix_mcm4njqhnhss8!Netflix.App
News                                               Microsoft.BingNews_8wekyb3d8bbwe!AppexNews
Notepad                                            Microsoft.WindowsNotepad_8wekyb3d8bbwe!App
NotMyFault                                         Microsoft.SysinternalsSuite_8wekyb3d8bbwe!notmyfault
ODBC Data Sources (32-bit)                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\odbcad32.exe
Office Language Preferences                        Microsoft.Office.SETLANG.EXE.15
Oh My Posh                                         ohmyposh.cli_96v55e8n804z4!OhMyPosh
On-Screen Keyboard                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\osk.exe
OneDrive                                           Microsoft.SkyDrive.Desktop
OneNote                                            Microsoft.Office.ONENOTE.EXE.15
Outlook                                            Microsoft.OutlookForWindows_8wekyb3d8bbwe!Microsoft.OutlookforWindows
Outlook (classic)                                  Microsoft.Office.OUTLOOK.EXE.15
Paint                                              Microsoft.Paint_8wekyb3d8bbwe!App
PC Manager                                         Microsoft.MicrosoftPCManager_8wekyb3d8bbwe!App
Performance Monitor                                Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}
Phone                                              SAMSUNGELECTRONICSCO.LTD.SamsungPhone_3c1yjt4zspk6g!FTApp
Phone Link                                         Microsoft.YourPhone_8wekyb3d8bbwe!App
Photos                                             Microsoft.Windows.Photos_8wekyb3d8bbwe!App
Pixel4a5g                                          C:\Users\freds\CrossDevice\Pixel4a5g (1)
Power Automate                                     Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Console
Power Automate Troubleshooter                      Microsoft.PowerAutomateDesktop_8wekyb3d8bbwe!PAD.Troubleshooter
